liga,family,period,direction,predictions,hit_rate,brier
brasileirao,faltas,FT,over,25970,0.7085483249903735,0.1758807995061183
brasileirao,faltas,FT,under,25970,0.2914516750096265,0.1758807995061183
brasileirao,gols,2T,over,7420,0.3300539083557951,0.14900928450997833
brasileirao,gols,2T,under,7420,0.6699460916442048,0.14900928450997833
brasileirao,gols,FT,over,29680,0.3015835579514825,0.1258776136340993
brasileirao,gols,FT,under,29680,0.6984164420485175,0.1258776136340993
brasileirao,gols,HT,over,14840,0.26880053908355794,0.15182163908162263
brasileirao,gols,HT,under,14840,0.7311994609164421,0.15182163908162263
brasileirao,gols_oddeven,FT,impar,1855,0.5121293800539084,0.2506324337662078
brasileirao,gols_oddeven,FT,par,1855,0.48787061994609165,0.2506324337603444
brasileirao,gols_oddeven,HT,impar,1855,0.4522911051212938,0.24928447020047773
brasileirao,gols_oddeven,HT,par,1855,0.5477088948787062,0.24928447019855582
brasileirao,impedimentos,FT,over,18550,0.3961725067385445,0.19681019804455396
brasileirao,impedimentos,FT,under,18550,0.6038274932614556,0.19681019804455396
brasileirao-b,1x2,FT,away,314,0.24522292993630573,0.19646573192672784
brasileirao-b,1x2,FT,draw,314,0.321656050955414,0.22463007691184386
brasileirao-b,1x2,FT,home,314,0.43312101910828027,0.27932693015955457
brasileirao-b,1x2,HT,away,314,0.1942675159235669,0.15636083709106427
brasileirao-b,1x2,HT,draw,314,0.535031847133758,0.26315788808550306
brasileirao-b,1x2,HT,home,314,0.27070063694267515,0.216206513429787
brasileirao-b,btts,FT,nao,314,0.4872611464968153,0.2786680895354948
brasileirao-b,btts,FT,sim,314,0.5127388535031847,0.2786680895354948
brasileirao-b,btts,HT,nao,314,0.802547770700637,0.16908665620827218
brasileirao-b,btts,HT,sim,314,0.19745222929936307,0.16908665620827218
brasileirao-b,cartoes,FT,over,4710,0.6373673036093418,0.17972603856475028
brasileirao-b,cartoes,FT,under,4710,0.36263269639065815,0.17972603856475028
brasileirao-b,cartoes,HT,over,2512,0.47253184713375795,0.21070864757210186
brasileirao-b,cartoes,HT,under,2512,0.527468152866242,0.21070864757210186
brasileirao-b,cartoes_1x2,FT,away,314,0.42356687898089174,0.25733364509020024
brasileirao-b,cartoes_1x2,FT,draw,314,0.21337579617834396,0.16947316569807236
brasileirao-b,cartoes_1x2,FT,home,314,0.3630573248407643,0.2378325891154147
brasileirao-b,chutes,FT,over,7222,0.5666020492938244,0.20576350896128662
brasileirao-b,chutes,FT,under,7222,0.4333979507061756,0.20576350896128662
brasileirao-b,chutes,HT,over,4082,0.6641352278294953,0.1994124406016191
brasileirao-b,chutes,HT,under,4082,0.33586477217050464,0.1994124406016191
brasileirao-b,chutes_1x2,FT,away,314,0.2898089171974522,0.20124415399125567
brasileirao-b,chutes_1x2,FT,draw,314,0.06687898089171974,0.06249581209132674
brasileirao-b,chutes_1x2,FT,home,314,0.643312101910828,0.22697253263290648
brasileirao-b,chutes_1x2,HT,away,314,0.3057324840764331,0.20618344642001482
brasileirao-b,chutes_1x2,HT,draw,314,0.06687898089171974,0.06291869552332639
brasileirao-b,chutes_1x2,HT,home,314,0.6273885350318471,0.22323692789610455
brasileirao-b,chutes_alvo,FT,over,5338,0.39771449981266394,0.1919108500862077
brasileirao-b,chutes_alvo,FT,under,5338,0.6022855001873361,0.1919108500862077
brasileirao-b,chutes_alvo,HT,over,3768,0.45276008492569003,0.1931251403436141
brasileirao-b,chutes_alvo,HT,under,3768,0.54723991507431,0.1931251403436141
brasileirao-b,chutes_alvo_1x2,FT,away,314,0.31210191082802546,0.2285976247608211
brasileirao-b,chutes_alvo_1x2,FT,draw,314,0.12101910828025478,0.1067453465146903
brasileirao-b,chutes_alvo_1x2,FT,home,314,0.5668789808917197,0.2642654943563966
brasileirao-b,chutes_alvo_1x2,HT,away,314,0.2961783439490446,0.216553265829705
brasileirao-b,chutes_alvo_1x2,HT,draw,314,0.2356687898089172,0.18024328239699522
brasileirao-b,chutes_alvo_1x2,HT,home,314,0.4681528662420382,0.255733980464334
brasileirao-b,dupla,FT,12,314,0.678343949044586,0.22463007690473952
brasileirao-b,dupla,FT,1x,314,0.7547770700636943,0.19646573192129274
brasileirao-b,dupla,FT,x2,314,0.5668789808917197,0.279326930172094
brasileirao-b,dupla,HT,12,314,0.46496815286624205,0.26315788807360774
brasileirao-b,dupla,HT,1x,314,0.8057324840764332,0.15636083709035511
brasileirao-b,dupla,HT,x2,314,0.7292993630573248,0.21620651344239147
