market_key,family,direction,segment_type,segment,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,profit,roi,roi_ci_low,roi_ci_high,roi_t,breakeven
btts_total_ft_nao,btts,nao,liga,bundesliga,53,13,0.24528301886792453,2.8138459119496857,0.47601919684012095,0.31323281723442353,0.11098090716421928,-16.361166666666666,-0.3087012578616352,-0.6410424130367766,0.02363989731350613,-1.8205824225710046,0.3553854870848667
btts_total_ft_sim,btts,sim,liga,brasileirao,26,17,0.6538461538461539,2.3316089743589745,0.5013208600425885,0.16086490780325644,0.06806407077009459,13.4335,0.516673076923077,0.08408916475628558,0.9492569890898683,2.3410006759076425,0.42888838179863686
btts_total_ft_sim,btts,sim,liga,ligue-1,29,18,0.6206896551724138,2.301563218390805,0.5145366968563295,0.17560451867682783,0.07603159158061605,13.5055,0.46570689655172415,0.042630925691638566,0.8887828674118097,2.1574978966206624,0.4344873049801234
btts_total_ft_sim,btts,sim,liga,la-liga-2,28,18,0.6428571428571429,2.206017857142857,0.5643105605787974,0.23751178299868794,0.10782106447005221,11.363499999999998,0.4058392857142857,0.013184829433950718,0.7984937419946206,2.0258142681872258,0.4533054874248202
btts_total_ft_sim,btts,sim,liga,championship,31,16,0.5161290322580645,2.2097580645161288,0.5559877207571011,0.2197910044797632,0.10008427277009824,4.7925,0.1545967741935484,-0.24171646127925633,0.5509100096663531,0.7645711782950221,0.4525382285318055
btts_total_ft_sim,btts,sim,liga,bundesliga,35,19,0.5428571428571428,2.0908238095238096,0.5917568791102987,0.23131143878124902,0.11002204177954467,4.2475,0.12135714285714284,-0.2218556488236646,0.46456993453795026,0.6930394372398946,0.47828037706713916
btts_total_ft_sim,btts,sim,liga,premier-league,49,24,0.4897959183673469,2.217061224489796,0.5386305138130926,0.1862777084804762,0.08250913381614595,4.490333333333333,0.09163945578231292,-0.2236116697029546,0.40689058126758043,0.5697468424794794,0.4510475348871461
btts_total_ft_sim,btts,sim,liga,la-liga,33,14,0.42424242424242425,2.2578686868686866,0.5220988678048745,0.1725055027616748,0.07587375997832248,-2.1455,-0.06501515151515153,-0.43875495791903796,0.3087246548887349,-0.3409583212337531,0.442895552702334
escanteios_total_ft_under_10_5,escanteios,under,liga,serie-a,23,19,0.8260869565217391,1.457391304347826,0.7811057817736615,0.13666343275499573,0.09415740808248631,4.629999999999999,0.20130434782608692,-0.024623990832271292,0.4272326864844451,1.7463790690541323,0.6861575178997614
escanteios_total_ft_under_10_5,escanteios,under,liga,la-liga-2,42,31,0.7380952380952381,1.51,0.7725081537112479,0.1650215116476463,0.10915431399575165,4.69,0.11166666666666668,-0.08922768736420568,0.31256102069753905,1.0894615118602708,0.6622516556291391
escanteios_total_ft_under_10_5,escanteios,under,liga,serie-b-italia,24,17,0.7083333333333334,1.5295833333333333,0.7555162144528325,0.15317564593009114,0.1002418262709482,2.0600000000000005,0.08583333333333336,-0.1939102674441034,0.36557693411077014,0.6013840276088365,0.6537728139471534
escanteios_total_ft_under_10_5,escanteios,under,liga,la-liga,42,28,0.6666666666666666,1.5657142857142858,0.7302166032541888,0.14004222734160496,0.08979489023065991,1.4900000000000002,0.03547619047619048,-0.18688075812805843,0.25783313908043937,0.31271041345817724,0.6386861313868613
escanteios_total_ft_under_10_5,escanteios,under,liga,premier-league,34,21,0.6176470588235294,1.677941176470588,0.6904222295381531,0.15274298172486206,0.09192806882516376,1.1099999999999999,0.03264705882352941,-0.24147826421229152,0.30677238185935035,0.23342693985902233,0.595968448729185
escanteios_total_ft_under_10_5,escanteios,under,liga,superliga-argentina,34,25,0.7352941176470589,1.3785294117647058,0.8149944881847974,0.1207337570922508,0.08833905271061178,0.3800000000000001,0.011176470588235298,-0.19353271536132358,0.21588565653779415,0.10700976730149706,0.7254107104757841
escanteios_total_ft_under_10_5,escanteios,under,liga,primeira-liga,28,17,0.6071428571428571,1.5614285714285714,0.78243594030419,0.21965898084219432,0.13921547903046347,-1.7000000000000004,-0.06071428571428573,-0.34197830758697384,0.2205497361584024,-0.4230900177267052,0.6404391582799634
escanteios_total_ft_under_10_5,escanteios,under,liga,championship,34,18,0.5294117647058824,1.6920588235294118,0.6878558068741978,0.16201104192038543,0.0955518963222822,-3.420000000000001,-0.10058823529411767,-0.385897432598296,0.18472096201006064,-0.6910150217354502,0.5909960020858682
escanteios_total_ft_under_10_5,escanteios,under,liga,bundesliga,32,18,0.5625,1.625625,0.7166850305951353,0.16260205984888235,0.0994377480200764,-3.55,-0.1109375,-0.3834378611576592,0.1615628611576592,-0.7979347222743615,0.6151480199923106
escanteios_total_ft_under_10_5,escanteios,under,liga,liga-mx,26,14,0.5384615384615384,1.598076923076923,0.7572690080270295,0.20791585762913897,0.13016105296481403,-3.5999999999999996,-0.13846153846153844,-0.4459562852147757,0.1690332082916988,-0.8825666722768436,0.6257521058965103
escanteios_total_ft_under_10_5,escanteios,under,liga,ligue-1,29,15,0.5172413793103449,1.5462068965517242,0.7482920049276764,0.15337944263989398,0.09986172584923278,-6.1,-0.21034482758620687,-0.4888992007820341,0.06820954560962034,-1.4800552485999938,0.6467439785905441
escanteios_total_ft_under_11_5,escanteios,under,liga,brasileirao,21,17,0.8095238095238095,1.4814285714285713,0.7383675995802376,0.0945917159544246,0.059735260481726726,3.829999999999999,0.18238095238095234,-0.06365784010390646,0.42841974486581114,1.4528874209487312,0.6750241080038574
escanteios_total_ft_under_11_5,escanteios,under,liga,serie-a,26,23,0.8846153846153846,1.2842307692307693,0.8575723746027262,0.10061719716953145,0.07821523675353824,3.500000000000001,0.13461538461538464,-0.023351744130515995,0.29258251336128527,1.670259856850129,0.7786762503743635
escanteios_total_ft_under_11_5,escanteios,under,liga,la-liga-2,44,37,0.8409090909090909,1.3297727272727273,0.8490697819754647,0.12795909092048274,0.0962159142382046,5.130000000000001,0.1165909090909091,-0.027470693078994524,0.26065251126081274,1.586253230397033,0.7520082037258587
escanteios_total_ft_under_11_5,escanteios,under,liga,superliga-argentina,32,28,0.875,1.2453125,0.8735051715612938,0.08703338548911953,0.07008709839052604,2.87,0.0896875,-0.053332192682921054,0.23270719268292106,1.2291139541861984,0.8030112923462986
escanteios_total_ft_under_11_5,escanteios,under,liga,la-liga,43,34,0.7906976744186046,1.3662790697674418,0.8197575609695379,0.11821904670608249,0.08658301389477902,3.24,0.07534883720930233,-0.09066677560630687,0.24136445002491153,0.8895773019508859,0.7319148936170213
escanteios_total_ft_under_11_5,escanteios,under,liga,primeira-liga,31,23,0.7419354838709677,1.3651612903225807,0.8512275948700321,0.16065336012768702,0.11673068039882321,0.050000000000000266,0.0016129032258064603,-0.20729476123905405,0.21052056769066696,0.015132476497110088,0.7325141776937618
escanteios_total_ft_under_11_5,escanteios,under,liga,ligue-1,33,24,0.7272727272727273,1.3512121212121213,0.826934456435611,0.11557599812372328,0.08567593151121013,-0.7499999999999991,-0.0227272727272727,-0.2275102594360797,0.18205571398153428,-0.21752517267851115,0.7400762502803319
escanteios_total_ft_under_11_5,escanteios,under,liga,premier-league,36,24,0.6666666666666666,1.4494444444444445,0.7818224402510701,0.12941113386062303,0.08983799488828498,-1.5300000000000002,-0.04250000000000001,-0.26433338613406165,0.17933338613406166,-0.3755070481124916,0.689919509390571
escanteios_total_ft_under_11_5,escanteios,under,liga,serie-b-italia,26,18,0.6923076923076923,1.3403846153846155,0.8351439473440185,0.11810620036427617,0.0880862211073077,-1.7299999999999998,-0.06653846153846153,-0.3063419881010278,0.17326506502410471,-0.5438426468734954,0.746054519368723
escanteios_total_ft_under_11_5,escanteios,under,liga,bundesliga,32,21,0.65625,1.4071875,0.8102601338472757,0.1388279456030777,0.0980723287285532,-2.9200000000000004,-0.09125000000000001,-0.31974739177258676,0.1372473917725867,-0.7827222823532334,0.7106373528758605
escanteios_total_ft_under_11_5,escanteios,under,liga,championship,39,24,0.6153846153846154,1.458974358974359,0.7750419245684215,0.12925778209583455,0.08856996990622283,-3.960000000000001,-0.10153846153846156,-0.32484046639281094,0.12176354331588783,-0.8912386825420314,0.6854130052724078
escanteios_total_ft_under_11_5,escanteios,under,liga,liga-mx,26,16,0.6153846153846154,1.3873076923076924,0.8419252090088413,0.16675647849661035,0.12009089474086462,-3.74,-0.14384615384615385,-0.40455069285359146,0.11685838516128377,-1.0814482272225345,0.7208206265594677
gols_total_ft_over_1_5,gols,over,liga,brasileirao,48,37,0.7708333333333334,1.3435416666666666,0.8266651773461117,0.10934933999110182,0.0809318596120897,1.7600000000000002,0.036666666666666674,-0.12394213745989097,0.19727547079322433,0.44746405439913917,0.744301442084044
gols_total_ft_over_1_5,gols,over,liga,superliga-argentina,29,18,0.6206896551724138,1.5262068965517241,0.7574030854123673,0.1512770322901466,0.09939763443407375,-1.56,-0.05379310344827586,-0.3246113191865175,0.21702511228996574,-0.389318283008437,0.6552191595119747
gols_total_ft_over_1_5,gols,over,liga,la-liga,20,12,0.6,1.3175000000000001,0.828905751630362,0.08930815195583901,0.066983477262853,-4.21,-0.2105,-0.49365547880978744,0.07265547880978743,-1.4570793464220932,0.7590132827324477
gols_total_ft_under_3_5,gols,under,liga,championship,48,39,0.8125,1.39875,0.8060951938825786,0.12328434641649494,0.08553206095788952,6.41,0.13354166666666667,-0.024113596085812483,0.2911969294191458,1.6602152195680555,0.7149240393208222
gols_total_ft_under_3_5,gols,under,liga,serie-a,23,18,0.782608695652174,1.3656521739130434,0.8191934826954738,0.11348159369884002,0.08273205740359742,1.5500000000000003,0.0673913043478261,-0.165547648144165,0.30033025683981723,0.5670453786653846,0.7322508755173512
gols_total_ft_under_3_5,gols,under,liga,premier-league,28,19,0.6785714285714286,1.5310714285714284,0.7316047101908776,0.10997699614025412,0.07134582313266015,1.6499999999999997,0.05892857142857142,-0.2169093384025466,0.33476648125968944,0.41872417054898275,0.6531373921156987
gols_total_ft_under_3_5,gols,under,liga,la-liga,32,23,0.71875,1.4634375,0.796479987625133,0.14431787659420653,0.09836375654400914,1.2600000000000005,0.039375000000000014,-0.19456622588370084,0.27331622588370086,0.3298905513915962,0.6833226564168269
gols_total_ft_under_3_5,gols,under,liga,la-liga-2,39,29,0.7435897435897436,1.3525641025641026,0.8263570719825981,0.1127261080368217,0.08297943625409676,-0.11999999999999944,-0.0030769230769230626,-0.1888573469457587,0.18270350079191258,-0.03246181220378222,0.7393364928909952
gols_total_ft_under_3_5,gols,under,liga,serie-b-italia,29,21,0.7241379310344828,1.3686206896551723,0.8020118497329615,0.09171863682194001,0.06665280914552202,-0.33000000000000007,-0.011379310344827588,-0.23603961168532014,0.21328099099566497,-0.09927632137401625,0.7306626354245402
gols_total_ft_under_3_5,gols,under,liga,ligue-1,22,14,0.6363636363636364,1.5172727272727273,0.7421421874165969,0.1186172922519322,0.076571740766546,-0.5200000000000002,-0.023636363636363646,-0.3372352131834645,0.28996248591073726,-0.1477278146720836,0.6590772917914919
gols_total_ft_under_3_5,gols,under,liga,primeira-liga,23,13,0.5652173913043478,1.4882608695652175,0.7888163265729894,0.15370817086588703,0.10195073960493176,-3.5999999999999996,-0.15652173913043477,-0.46790148951114297,0.15485801125027343,-0.9852362214323976,0.6719252118025123
gols_total_ft_under_3_5,gols,under,liga,bundesliga,28,12,0.42857142857142855,1.6807142857142858,0.6861148725969456,0.1342230743088755,0.08032072673723334,-8.13,-0.29035714285714287,-0.6013549121417472,0.020640626427461506,-1.8299166624542498,0.5949851253718657
