liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
brasileirao-b,escanteios_handicap,FT,home_minus_1_5,314,0.503185,0.467939,0.252986,0.698635,0.509554
brasileirao-b,escanteios_handicap,FT,home_minus_2_5,314,0.401274,0.384816,0.245083,0.683152,0.576433
brasileirao-b,escanteios_handicap,FT,home_minus_3_5,314,0.315287,0.303868,0.221089,0.635652,0.675159
brasileirao-b,escanteios_handicap,FT,home_minus_4_5,314,0.229299,0.228250,0.182051,0.552110,0.770701
brasileirao-b,escanteios_handicap,FT,home_plus_1_5,314,0.770701,0.728608,0.167661,0.516179,0.783439
brasileirao-b,escanteios_handicap,FT,home_plus_2_5,314,0.837580,0.796943,0.132756,0.427644,0.824841
brasileirao-b,escanteios_handicap,FT,home_plus_3_5,314,0.891720,0.856185,0.093256,0.325427,0.891720
brasileirao-b,escanteios_handicap,FT,home_plus_4_5,314,0.907643,0.899545,0.079725,0.286461,0.907643
brasileirao-b,escanteios_handicap,HT,away_minus_1_5,314,0.181529,0.200778,0.144971,0.463510,0.818471
brasileirao-b,escanteios_handicap,HT,away_minus_2_5,314,0.111465,0.106026,0.095892,0.334664,0.888535
brasileirao-b,escanteios_handicap,HT,away_plus_1_5,314,0.643312,0.646833,0.236174,0.665107,0.605096
brasileirao-b,escanteios_handicap,HT,away_plus_2_5,314,0.767516,0.775661,0.183180,0.556201,0.767516
brasileirao-b,escanteios_handicap,HT,home_minus_1_5,314,0.356688,0.373209,0.242576,0.678655,0.585987
brasileirao-b,escanteios_handicap,HT,home_minus_2_5,314,0.232484,0.241551,0.186690,0.564353,0.767516
brasileirao-b,escanteios_handicap,HT,home_plus_1_5,314,0.818471,0.786827,0.145559,0.465266,0.818471
brasileirao-b,escanteios_handicap,HT,home_plus_2_5,314,0.888535,0.878010,0.096188,0.335264,0.888535
brasileirao-b,escanteios_oddeven,FT,impar,314,0.515924,0.514795,0.249438,0.692015,0.515924
brasileirao-b,escanteios_oddeven,FT,par,314,0.484076,0.481112,0.249835,0.692817,0.515924
brasileirao-b,escanteios_oddeven,HT,impar,314,0.506369,0.512244,0.251629,0.696658,0.484076
brasileirao-b,escanteios_oddeven,HT,par,314,0.493631,0.488070,0.251604,0.696607,0.484076
brasileirao-b,faltas,FT,over,4396,0.706551,0.698905,0.172474,0.517410,0.740673
brasileirao-b,faltas,FT,under,4396,0.293449,0.301140,0.172569,0.522139,0.738854
brasileirao-b,gols,2T,over,1256,0.320860,0.311905,0.140281,0.437178,0.810510
brasileirao-b,gols,2T,under,1256,0.679140,0.688095,0.140281,0.437178,0.810510
brasileirao-b,gols,FT,over,5024,0.281449,0.285520,0.122365,0.385518,0.821258
brasileirao-b,gols,FT,under,5024,0.718551,0.714480,0.122365,0.385518,0.821258
brasileirao-b,gols,HT,over,2512,0.238854,0.241222,0.142430,0.437487,0.788217
brasileirao-b,gols,HT,under,2512,0.761146,0.758778,0.142430,0.437487,0.788217
brasileirao-b,gols_oddeven,FT,impar,314,0.484076,0.493026,0.249427,0.692003,0.525478
brasileirao-b,gols_oddeven,FT,par,314,0.515924,0.506974,0.249427,0.692003,0.515924
brasileirao-b,gols_oddeven,HT,impar,314,0.382166,0.455508,0.242475,0.678086,0.617834
brasileirao-b,gols_oddeven,HT,par,314,0.617834,0.544492,0.242475,0.678086,0.617834
brasileirao-b,impedimentos,FT,over,3140,0.390127,0.388609,0.202046,0.591116,0.696815
brasileirao-b,impedimentos,FT,under,3140,0.609873,0.609650,0.202134,0.599498,0.693312
bundesliga,1x2,FT,away,1362,0.309104,0.286591,0.192278,0.568529,0.704846
bundesliga,1x2,FT,draw,1362,0.251101,0.238456,0.187383,0.561679,0.748899
bundesliga,1x2,FT,home,1362,0.439794,0.478001,0.222832,0.636579,0.634361
bundesliga,1x2,HT,away,1362,0.281204,0.250508,0.190449,0.566574,0.732012
bundesliga,1x2,HT,draw,1362,0.359765,0.389893,0.230391,0.652997,0.640235
bundesliga,1x2,HT,home,1362,0.359031,0.370826,0.216156,0.622538,0.657856
bundesliga,btts,FT,nao,1362,0.397210,0.444801,0.241859,0.677752,0.577827
bundesliga,btts,FT,sim,1362,0.602790,0.555199,0.241859,0.677752,0.577827
bundesliga,btts,HT,nao,1362,0.756975,0.781575,0.184045,0.554586,0.756975
