liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
brasileirao,escanteios_exato,FT,eq_14,1845,0.057995,0.061771,0.055197,0.226070,0.942005
brasileirao,escanteios_exato,FT,eq_15_plus,1845,0.119241,0.123108,0.109331,0.386816,0.880759
brasileirao,escanteios_exato,FT,eq_2,1845,0.003794,0.002153,0.003789,0.026271,0.996206
brasileirao,escanteios_exato,FT,eq_3,1845,0.006504,0.006893,0.006483,0.040466,0.993496
brasileirao,escanteios_exato,FT,eq_4,1845,0.011382,0.016765,0.011427,0.067179,0.988618
brasileirao,escanteios_exato,FT,eq_5,1845,0.029268,0.033002,0.028708,0.136031,0.970732
brasileirao,escanteios_exato,FT,eq_6,1845,0.071545,0.054739,0.067698,0.271254,0.928455
brasileirao,escanteios_exato,FT,eq_7,1845,0.076423,0.078645,0.070984,0.272709,0.923577
brasileirao,escanteios_exato,FT,eq_8,1845,0.099729,0.099865,0.090807,0.330727,0.900271
brasileirao,escanteios_exato,FT,eq_9,1845,0.132249,0.113817,0.115140,0.393006,0.867751
brasileirao,faltas,FT,over,25830,0.708827,0.758100,0.175809,0.529349,0.733488
brasileirao,faltas,FT,under,25830,0.291173,0.241900,0.175809,0.529349,0.733488
brasileirao,gols,2T,over,7380,0.329946,0.366627,0.149024,0.460918,0.791599
brasileirao,gols,2T,under,7380,0.670054,0.633373,0.149024,0.460918,0.791599
brasileirao,gols,FT,over,29520,0.301050,0.307472,0.125905,0.393596,0.818394
brasileirao,gols,FT,under,29520,0.698950,0.692528,0.125905,0.393596,0.818394
brasileirao,gols,HT,over,14760,0.267886,0.242251,0.151596,0.464447,0.781233
brasileirao,gols,HT,under,14760,0.732114,0.757749,0.151596,0.464447,0.781233
brasileirao,handicap,FT,away_minus_1,1845,0.522493,0.425103,0.247849,0.692994,0.565854
brasileirao,handicap,FT,away_minus_2,1845,0.782656,0.661893,0.183587,0.550323,0.746883
brasileirao,handicap,FT,away_plus_1,1845,0.088347,0.060356,0.080712,0.303764,0.910569
