liga,family,period,prob_bin,bin_lo,bin_hi,n,mean_pred,observed_freq,gap
brasileirao,chutes_alvo,FT,8,0.80,0.90,4397,0.830716,0.824653,-0.006063
brasileirao,chutes_alvo,FT,9,0.90,1.00,5535,0.928347,0.921590,-0.006757
brasileirao,chutes_alvo,HT,1,0.10,0.20,3680,0.179151,0.021467,-0.157683
brasileirao,chutes_alvo,HT,2,0.20,0.30,5545,0.253203,0.833904,0.580701
brasileirao,chutes_alvo,HT,3,0.30,0.40,1845,0.332316,0.010840,-0.321476
brasileirao,chutes_alvo,HT,4,0.40,0.50,5535,0.471834,0.501174,0.029340
brasileirao,chutes_alvo,HT,5,0.50,0.60,5535,0.528166,0.498826,-0.029340
brasileirao,chutes_alvo,HT,6,0.60,0.70,1845,0.667684,0.989160,0.321476
brasileirao,chutes_alvo,HT,7,0.70,0.80,5545,0.746797,0.166096,-0.580701
brasileirao,chutes_alvo,HT,8,0.80,0.90,3680,0.820849,0.978533,0.157683
brasileirao,correct_score,FT,0,0.00,0.10,46054,0.023462,0.025970,0.002508
brasileirao,correct_score,FT,1,0.10,0.20,5374,0.131378,0.116487,-0.014891
brasileirao,correct_score,FT,2,0.20,0.30,193,0.226281,0.093264,-0.133017
brasileirao,correct_score,FT,3,0.30,0.40,25,0.342838,0.160000,-0.182838
brasileirao,correct_score,FT,4,0.40,0.50,13,0.437384,0.076923,-0.360461
brasileirao,correct_score,FT,5,0.50,0.60,1,0.527132,0.000000,-0.527132
brasileirao,correct_score,HT,0,0.00,0.10,12815,0.034573,0.043543,0.008970
brasileirao,correct_score,HT,1,0.10,0.20,2210,0.134925,0.130317,-0.004609
brasileirao,correct_score,HT,2,0.20,0.30,1842,0.253239,0.255700,0.002462
brasileirao,correct_score,HT,3,0.30,0.40,868,0.351681,0.302995,-0.048685
brasileirao,correct_score,HT,4,0.40,0.50,571,0.439052,0.350263,-0.088789
brasileirao,correct_score,HT,5,0.50,0.60,113,0.536604,0.451327,-0.085277
brasileirao,correct_score,HT,6,0.60,0.70,23,0.645721,0.434783,-0.210938
brasileirao,correct_score,HT,7,0.70,0.80,8,0.731490,0.500000,-0.231490
brasileirao,dnb,2T,0,0.00,0.10,90,0.078984,0.244444,0.165460
brasileirao,dnb,2T,1,0.10,0.20,362,0.155648,0.298343,0.142694
brasileirao,dnb,2T,2,0.20,0.30,311,0.247253,0.408360,0.161107
