liga,family,period,direction,n,coverage,brier_raw,brier_cal,delta_brier,delta_brier_rel,log_loss_raw,log_loss_cal,delta_log_loss,gap_raw,gap_cal
premier-league,dnb,2T,away,1166,1.0000,0.246224,0.224788,-0.021437,-0.087061,0.714268,0.640897,-0.073371,0.134479,0.019332
liga-mx,asian_handicap,FT,away_minus_2,190,1.0000,0.124491,0.103339,-0.021152,-0.169908,0.401407,0.352075,-0.049332,0.106106,0.020167
liga-mx,asian_handicap,FT,home_minus_2,190,1.0000,0.124491,0.103339,-0.021152,-0.169908,0.401407,0.352075,-0.049332,-0.106106,-0.020167
serie-b-italia,handicap,FT,away_minus_1,277,1.0000,0.253332,0.232194,-0.021139,-0.083442,0.709810,0.657179,-0.052631,0.128492,0.009120
serie-b-italia,dupla,FT,x2,277,1.0000,0.253332,0.232194,-0.021139,-0.083442,0.709810,0.657179,-0.052631,0.128492,0.009120
serie-b-italia,1x2,FT,home,277,1.0000,0.253332,0.232194,-0.021139,-0.083442,0.709810,0.657179,-0.052631,-0.128492,-0.009120
serie-b-italia,asian_handicap,FT,home_minus_0_5,277,1.0000,0.253332,0.232194,-0.021139,-0.083442,0.709810,0.657179,-0.052631,-0.128492,-0.009120
serie-b-italia,asian_handicap,FT,away_minus_0_5,277,1.0000,0.253332,0.232194,-0.021139,-0.083442,0.709810,0.657179,-0.052631,0.128492,0.009120
primeira-liga,handicap,FT,away_minus_2,205,1.0000,0.167387,0.146296,-0.021091,-0.126000,0.506723,0.455808,-0.050915,0.088377,-0.010265
primeira-liga,asian_handicap,FT,away_minus_1_5,205,1.0000,0.167387,0.146296,-0.021091,-0.126000,0.506723,0.455808,-0.050915,0.088377,-0.010265
primeira-liga,asian_handicap,FT,home_minus_1_5,205,1.0000,0.167387,0.146356,-0.021031,-0.125641,0.506723,0.456745,-0.049978,-0.088377,0.009560
primeira-liga,handicap,FT,home_minus_1,205,1.0000,0.167387,0.146356,-0.021031,-0.125641,0.506723,0.456745,-0.049978,-0.088377,0.009560
serie-b-italia,marca,FT,away_nao,277,1.0000,0.240132,0.219407,-0.020726,-0.086309,0.673445,0.627990,-0.045455,-0.121260,0.010149
serie-b-italia,marca,FT,away_sim,277,1.0000,0.240132,0.219407,-0.020726,-0.086309,0.673445,0.627990,-0.045455,0.121260,-0.010149
superliga-argentina,cartoes,HT,over,4648,1.0000,0.214516,0.193875,-0.020641,-0.096221,0.628783,0.583764,-0.045019,0.142354,-0.011508
superliga-argentina,cartoes,HT,under,4648,1.0000,0.214516,0.193924,-0.020592,-0.095995,0.628783,0.583854,-0.044929,-0.142354,0.013149
championship,btts,FT,nao,435,1.0000,0.268624,0.248091,-0.020533,-0.076437,0.735715,0.689268,-0.046447,-0.103028,-0.040609
championship,btts,FT,sim,435,1.0000,0.268624,0.248091,-0.020533,-0.076437,0.735715,0.689268,-0.046447,0.103028,0.040609
brasileirao,dnb,2T,away,1161,1.0000,0.251606,0.231391,-0.020215,-0.080344,0.713859,0.655020,-0.058838,0.131363,-0.002324
brasileirao,dnb,2T,home,1161,1.0000,0.251606,0.231391,-0.020215,-0.080344,0.713859,0.655020,-0.058838,-0.131363,0.002324
la-liga-2,asian_handicap,FT,home_minus_1_5,312,1.0000,0.177644,0.157689,-0.019955,-0.112329,0.534746,0.492886,-0.041861,-0.100323,0.003759
la-liga-2,handicap,FT,home_minus_1,312,1.0000,0.177644,0.157689,-0.019955,-0.112329,0.534746,0.492886,-0.041861,-0.100323,0.003759
la-liga-2,asian_handicap,FT,away_minus_1_5,312,1.0000,0.177644,0.157691,-0.019953,-0.112318,0.534746,0.492907,-0.041840,0.100323,-0.003739
la-liga-2,handicap,FT,away_minus_2,312,1.0000,0.177644,0.157691,-0.019953,-0.112318,0.534746,0.492907,-0.041840,0.100323,-0.003739
brasileirao,handicap,FT,away_minus_2,1845,1.0000,0.183587,0.163756,-0.019830,-0.108016,0.550323,0.505584,-0.044738,0.120763,-0.002614
brasileirao,asian_handicap,FT,away_minus_1_5,1845,1.0000,0.183587,0.163756,-0.019830,-0.108016,0.550323,0.505584,-0.044738,0.120763,-0.002614
brasileirao,asian_handicap,FT,home_minus_1_5,1845,1.0000,0.183587,0.163756,-0.019830,-0.108016,0.550323,0.505584,-0.044738,-0.120763,0.002614
brasileirao,handicap,FT,home_minus_1,1845,1.0000,0.183587,0.163756,-0.019830,-0.108016,0.550323,0.505584,-0.044738,-0.120763,0.002614
premier-league,handicap,FT,home_minus_2,1712,1.0000,0.112957,0.093653,-0.019303,-0.170890,0.374131,0.329379,-0.044752,-0.088147,0.007238
premier-league,handicap,FT,away_minus_2,1712,1.0000,0.183514,0.164238,-0.019276,-0.105038,0.547589,0.502630,-0.044960,0.112513,-0.010426
premier-league,asian_handicap,FT,away_minus_1_5,1712,1.0000,0.183514,0.164238,-0.019276,-0.105038,0.547589,0.502630,-0.044960,0.112513,-0.010426
premier-league,asian_handicap,FT,home_minus_1_5,1712,1.0000,0.183514,0.164241,-0.019273,-0.105023,0.547589,0.502668,-0.044921,-0.112513,0.010410
premier-league,handicap,FT,home_minus_1,1712,1.0000,0.183514,0.164241,-0.019273,-0.105023,0.547589,0.502668,-0.044921,-0.112513,0.010410
la-liga,marca,FT,away_nao,1710,1.0000,0.230837,0.211872,-0.018965,-0.082156,0.659761,0.613037,-0.046725,-0.128665,-0.011556
la-liga,marca,FT,away_sim,1710,1.0000,0.230837,0.211872,-0.018965,-0.082156,0.659761,0.613037,-0.046725,0.128665,0.011556
bundesliga,dnb,HT,away,865,1.0000,0.236913,0.218230,-0.018683,-0.078860,0.693110,0.626789,-0.066321,0.139792,0.036126
bundesliga,dnb,HT,home,865,1.0000,0.236913,0.218230,-0.018683,-0.078860,0.693110,0.626789,-0.066321,-0.139792,-0.036126
bundesliga,handicap,FT,home_minus_2,1353,1.0000,0.121651,0.103124,-0.018528,-0.152302,0.398771,0.349052,-0.049719,-0.105303,0.008789
la-liga-2,btts_algum_tempo,FULL,nao,312,1.0000,0.271060,0.252657,-0.018403,-0.067892,0.750643,0.698823,-0.051821,-0.095810,-0.057070
la-liga-2,btts_algum_tempo,FULL,sim,312,1.0000,0.271060,0.252683,-0.018377,-0.067796,0.750643,0.698894,-0.051750,0.095810,0.057095
serie-a,handicap,FT,away_minus_2,1708,1.0000,0.159610,0.141455,-0.018155,-0.113747,0.486760,0.445495,-0.041265,0.114300,0.008707
serie-a,asian_handicap,FT,away_minus_1_5,1708,1.0000,0.159610,0.141455,-0.018155,-0.113747,0.486760,0.445495,-0.041265,0.114300,0.008707
serie-a,asian_handicap,FT,home_minus_1_5,1708,1.0000,0.159610,0.141459,-0.018151,-0.113723,0.486760,0.445563,-0.041197,-0.114300,-0.008773
serie-a,handicap,FT,home_minus_1,1708,1.0000,0.159610,0.141459,-0.018151,-0.113723,0.486760,0.445563,-0.041197,-0.114300,-0.008773
championship,asian_handicap,FT,away_minus_1_5,435,1.0000,0.184463,0.166451,-0.018012,-0.097645,0.558949,0.521969,-0.036980,0.075165,-0.021633
championship,handicap,FT,away_minus_2,435,1.0000,0.184463,0.166451,-0.018012,-0.097645,0.558949,0.521969,-0.036980,0.075165,-0.021633
championship,asian_handicap,FT,home_minus_1_5,435,1.0000,0.184463,0.166459,-0.018004,-0.097603,0.558949,0.522095,-0.036854,-0.075165,0.021534
championship,handicap,FT,home_minus_1,435,1.0000,0.184463,0.166459,-0.018004,-0.097603,0.558949,0.522095,-0.036854,-0.075165,0.021534
championship,dnb,2T,home,272,1.0000,0.268862,0.250959,-0.017903,-0.066590,0.756893,0.696217,-0.060676,-0.088403,0.022555
championship,dnb,2T,away,272,1.0000,0.268862,0.250959,-0.017903,-0.066590,0.756893,0.696217,-0.060676,0.088403,-0.022555
primeira-liga,asian_handicap,FT,home_plus_2,195,1.0000,0.064181,0.046298,-0.017883,-0.278633,0.220119,0.175428,-0.044691,0.090615,0.039910
primeira-liga,asian_handicap,FT,away_plus_2,195,1.0000,0.064181,0.046298,-0.017883,-0.278633,0.220119,0.175429,-0.044690,-0.090615,-0.039911
la-liga,dnb,2T,away,1110,1.0000,0.236072,0.218192,-0.017880,-0.075739,0.676398,0.626017,-0.050381,0.132654,0.005365
la-liga,dnb,2T,home,1110,1.0000,0.236072,0.218192,-0.017880,-0.075739,0.676398,0.626017,-0.050381,-0.132654,-0.005365
superliga-argentina,handicap,FT,home_minus_2,581,1.0000,0.062220,0.044605,-0.017616,-0.283121,0.242763,0.189119,-0.053644,-0.090085,-0.029497
bundesliga,dupla,2T,x2,1353,1.0000,0.243968,0.226371,-0.017597,-0.072127,0.692834,0.644899,-0.047935,0.122240,0.013102
bundesliga,1x2,2T,home,1353,1.0000,0.243968,0.226371,-0.017597,-0.072127,0.692834,0.644899,-0.047935,-0.122240,-0.013102
serie-b-italia,dnb,FT,home,196,1.0000,0.229627,0.212261,-0.017365,-0.075625,0.661626,0.608939,-0.052687,-0.110931,0.008248
serie-b-italia,dnb,FT,away,196,1.0000,0.229627,0.212261,-0.017365,-0.075625,0.661626,0.608939,-0.052687,0.110931,-0.008248
brasileirao,marca,FT,away_nao,1845,1.0000,0.248736,0.231491,-0.017245,-0.069329,0.690896,0.655349,-0.035547,-0.104723,-0.004710
brasileirao,marca,FT,away_sim,1845,1.0000,0.248736,0.231491,-0.017245,-0.069329,0.690896,0.655349,-0.035547,0.104723,0.004710
superliga-argentina,dnb,HT,away,294,1.0000,0.264120,0.246988,-0.017133,-0.064868,0.754316,0.689635,-0.064680,0.096597,-0.004836
superliga-argentina,dnb,HT,home,294,1.0000,0.264120,0.246988,-0.017133,-0.064868,0.754316,0.689635,-0.064680,-0.096597,0.004836
bundesliga,marca,FT,away_nao,1353,1.0000,0.202477,0.186115,-0.016362,-0.080811,0.590801,0.557280,-0.033521,-0.113335,-0.029894
bundesliga,marca,FT,away_sim,1353,1.0000,0.202477,0.186115,-0.016362,-0.080811,0.590801,0.557280,-0.033521,0.113335,0.029894
liga-mx,btts_algum_tempo,FULL,nao,235,1.0000,0.275439,0.259196,-0.016242,-0.058969,0.751782,0.712240,-0.039542,-0.084507,-0.077190
liga-mx,btts_algum_tempo,FULL,sim,235,1.0000,0.275439,0.259196,-0.016242,-0.058969,0.751782,0.712240,-0.039542,0.084507,0.077190
premier-league,dupla,FT,x2,1712,1.0000,0.237087,0.221045,-0.016042,-0.067663,0.674917,0.632987,-0.041930,0.109167,0.001185
premier-league,handicap,FT,away_minus_1,1712,1.0000,0.237087,0.221045,-0.016042,-0.067663,0.674917,0.632987,-0.041930,0.109167,0.001185
premier-league,1x2,FT,home,1712,1.0000,0.237087,0.221045,-0.016042,-0.067663,0.674917,0.632987,-0.041930,-0.109167,-0.001185
premier-league,asian_handicap,FT,home_minus_0_5,1712,1.0000,0.237087,0.221045,-0.016042,-0.067663,0.674917,0.632987,-0.041930,-0.109167,-0.001185
premier-league,asian_handicap,FT,away_minus_0_5,1712,1.0000,0.237087,0.221045,-0.016042,-0.067663,0.674917,0.632987,-0.041930,0.109167,0.001185
superliga-argentina,marca,FT,home_nao,581,1.0000,0.238969,0.222997,-0.015972,-0.066836,0.693990,0.652237,-0.041753,0.031768,0.041726
superliga-argentina,marca,FT,home_sim,581,1.0000,0.238969,0.222997,-0.015972,-0.066836,0.693990,0.652237,-0.041753,-0.031768,-0.041726
