liga,family,period,prob_bin,bin_lo,bin_hi,n,mean_pred,observed_freq,gap
brasileirao,escanteios_1x2,FT,2,0.20,0.30,288,0.274858,0.295139,0.020281
brasileirao,escanteios_1x2,FT,3,0.30,0.40,999,0.339554,0.340340,0.000787
brasileirao,escanteios_1x2,FT,4,0.40,0.50,722,0.450943,0.455679,0.004736
brasileirao,escanteios_1x2,FT,5,0.50,0.60,1040,0.557297,0.553846,-0.003451
brasileirao,escanteios_1x2,FT,6,0.60,0.70,379,0.643957,0.630607,-0.013350
brasileirao,escanteios_1x2,FT,7,0.70,0.80,129,0.724876,0.720930,-0.003946
brasileirao,escanteios_1x2,FT,8,0.80,0.90,10,0.850290,0.700000,-0.150290
brasileirao,escanteios_1x2,FT,9,0.90,1.00,21,0.982667,0.761905,-0.220762
brasileirao,escanteios_1x2,HT,0,0.00,0.10,71,0.057513,0.126761,0.069248
brasileirao,escanteios_1x2,HT,1,0.10,0.20,1835,0.140161,0.138965,-0.001196
brasileirao,escanteios_1x2,HT,2,0.20,0.30,720,0.254690,0.255556,0.000866
brasileirao,escanteios_1x2,HT,3,0.30,0.40,1065,0.356729,0.361502,0.004773
brasileirao,escanteios_1x2,HT,4,0.40,0.50,621,0.482542,0.491143,0.008602
brasileirao,escanteios_1x2,HT,5,0.50,0.60,890,0.529596,0.525843,-0.003754
brasileirao,escanteios_1x2,HT,6,0.60,0.70,157,0.645673,0.643312,-0.002361
brasileirao,escanteios_1x2,HT,7,0.70,0.80,178,0.721086,0.719101,-0.001985
brasileirao,escanteios_1x2,HT,8,0.80,0.90,20,0.841517,0.650000,-0.191517
brasileirao,escanteios_1x2,HT,9,0.90,1.00,8,0.931774,0.875000,-0.056774
brasileirao,escanteios_handicap,FT,0,0.00,0.10,1561,0.063579,0.076874,0.013295
brasileirao,escanteios_handicap,FT,1,0.10,0.20,3963,0.154504,0.162251,0.007746
brasileirao,escanteios_handicap,FT,2,0.20,0.30,3943,0.245959,0.247274,0.001315
brasileirao,escanteios_handicap,FT,3,0.30,0.40,3291,0.351409,0.354603,0.003194
brasileirao,escanteios_handicap,FT,4,0.40,0.50,1987,0.449835,0.444892,-0.004944
brasileirao,escanteios_handicap,FT,5,0.50,0.60,2258,0.542421,0.549601,0.007181
brasileirao,escanteios_handicap,FT,6,0.60,0.70,3185,0.648347,0.648038,-0.000309
brasileirao,escanteios_handicap,FT,7,0.70,0.80,3823,0.745666,0.746534,0.000868
brasileirao,escanteios_handicap,FT,8,0.80,0.90,4095,0.842198,0.838339,-0.003859
brasileirao,escanteios_handicap,FT,9,0.90,1.00,1574,0.941425,0.926938,-0.014487
brasileirao,escanteios_handicap,HT,0,0.00,0.10,933,0.065071,0.073955,0.008884
brasileirao,escanteios_handicap,HT,1,0.10,0.20,1899,0.147442,0.152712,0.005270
brasileirao,escanteios_handicap,HT,2,0.20,0.30,2477,0.238535,0.236980,-0.001555
brasileirao,escanteios_handicap,HT,3,0.30,0.40,1456,0.345236,0.339973,-0.005263
brasileirao,escanteios_handicap,HT,4,0.40,0.50,593,0.439322,0.438449,-0.000873
brasileirao,escanteios_handicap,HT,5,0.50,0.60,490,0.544210,0.538776,-0.005434
brasileirao,escanteios_handicap,HT,6,0.60,0.70,1688,0.647171,0.643957,-0.003214
brasileirao,escanteios_handicap,HT,7,0.70,0.80,1843,0.750553,0.757461,0.006908
brasileirao,escanteios_handicap,HT,8,0.80,0.90,2225,0.837461,0.827865,-0.009596
brasileirao,escanteios_handicap,HT,9,0.90,1.00,1236,0.923860,0.914239,-0.009621
brasileirao,escanteios_oddeven,FT,0,0.00,0.10,11,0.032701,0.363636,0.330936
brasileirao,escanteios_oddeven,FT,2,0.20,0.30,1,0.274673,1.000000,0.725327
brasileirao,escanteios_oddeven,FT,3,0.30,0.40,1,0.385667,1.000000,0.614333
brasileirao,escanteios_oddeven,FT,4,0.40,0.50,1840,0.484331,0.496196,0.011865
brasileirao,escanteios_oddeven,FT,5,0.50,0.60,1844,0.520510,0.504338,-0.016172
brasileirao,escanteios_oddeven,FT,6,0.60,0.70,3,0.644750,0.333333,-0.311416
brasileirao,escanteios_oddeven,FT,7,0.70,0.80,1,0.726726,0.000000,-0.726726
brasileirao,escanteios_oddeven,FT,9,0.90,1.00,9,0.966988,0.555556,-0.411432
brasileirao,escanteios_oddeven,HT,3,0.30,0.40,6,0.361652,0.666667,0.305014
brasileirao,escanteios_oddeven,HT,4,0.40,0.50,1847,0.470016,0.468868,-0.001148
brasileirao,escanteios_oddeven,HT,5,0.50,0.60,1851,0.529940,0.531064,0.001124
brasileirao,escanteios_oddeven,HT,6,0.60,0.70,6,0.637945,0.333333,-0.304612
brasileirao,faltas,FT,0,0.00,0.10,6035,0.064028,0.066611,0.002583
brasileirao,faltas,FT,1,0.10,0.20,4061,0.155215,0.155380,0.000165
brasileirao,faltas,FT,2,0.20,0.30,4311,0.246328,0.249362,0.003034
brasileirao,faltas,FT,3,0.30,0.40,4648,0.355451,0.355637,0.000186
brasileirao,faltas,FT,4,0.40,0.50,6915,0.444535,0.444975,0.000440
brasileirao,faltas,FT,5,0.50,0.60,7015,0.555659,0.556379,0.000720
brasileirao,faltas,FT,6,0.60,0.70,4561,0.645491,0.645034,-0.000457
brasileirao,faltas,FT,7,0.70,0.80,4298,0.753964,0.750116,-0.003848
brasileirao,faltas,FT,8,0.80,0.90,4025,0.844291,0.843727,-0.000564
brasileirao,faltas,FT,9,0.90,1.00,6071,0.935881,0.933454,-0.002427
brasileirao,gols,2T,0,0.00,0.10,2047,0.048025,0.053737,0.005712
brasileirao,gols,2T,1,0.10,0.20,1703,0.140276,0.143277,0.003001
brasileirao,gols,2T,2,0.20,0.30,1686,0.254569,0.254448,-0.000120
brasileirao,gols,2T,3,0.30,0.40,1411,0.340750,0.342310,0.001560
brasileirao,gols,2T,4,0.40,0.50,570,0.440021,0.438596,-0.001424
brasileirao,gols,2T,5,0.50,0.60,576,0.559354,0.560764,0.001409
brasileirao,gols,2T,6,0.60,0.70,1411,0.659250,0.657690,-0.001560
brasileirao,gols,2T,7,0.70,0.80,1686,0.745431,0.745552,0.000120
brasileirao,gols,2T,8,0.80,0.90,1703,0.859724,0.856723,-0.003001
brasileirao,gols,2T,9,0.90,1.00,2047,0.951975,0.946263,-0.005712
brasileirao,gols,FT,0,0.00,0.10,12159,0.036704,0.038326,0.001621
brasileirao,gols,FT,1,0.10,0.20,6243,0.150410,0.152170,0.001760
brasileirao,gols,FT,2,0.20,0.30,3477,0.237956,0.242450,0.004495
brasileirao,gols,FT,3,0.30,0.40,3533,0.352515,0.345033,-0.007482
brasileirao,gols,FT,4,0.40,0.50,4264,0.447580,0.445591,-0.001989
brasileirao,gols,FT,5,0.50,0.60,4272,0.552322,0.554307,0.001985
brasileirao,gols,FT,6,0.60,0.70,3533,0.647485,0.654967,0.007482
brasileirao,gols,FT,7,0.70,0.80,3477,0.762044,0.757550,-0.004495
brasileirao,gols,FT,8,0.80,0.90,6243,0.849590,0.847830,-0.001760
brasileirao,gols,FT,9,0.90,1.00,12159,0.963296,0.961674,-0.001621
brasileirao,gols,HT,0,0.00,0.10,4830,0.054927,0.056315,0.001388
brasileirao,gols,HT,1,0.10,0.20,1982,0.126546,0.128153,0.001608
brasileirao,gols,HT,2,0.20,0.30,2801,0.272598,0.279186,0.006588
brasileirao,gols,HT,3,0.30,0.40,3547,0.339275,0.332957,-0.006318
brasileirao,gols,HT,4,0.40,0.50,1676,0.454464,0.452267,-0.002197
brasileirao,gols,HT,5,0.50,0.60,1684,0.545320,0.547506,0.002186
brasileirao,gols,HT,6,0.60,0.70,3547,0.660725,0.667043,0.006318
brasileirao,gols,HT,7,0.70,0.80,2801,0.727402,0.720814,-0.006588
brasileirao,gols,HT,8,0.80,0.90,1982,0.873454,0.871847,-0.001608
brasileirao,gols,HT,9,0.90,1.00,4830,0.945073,0.943685,-0.001388
brasileirao,gols_oddeven,FT,0,0.00,0.10,1,0.000000,0.000000,0.000000
brasileirao,gols_oddeven,FT,1,0.10,0.20,2,0.168528,1.000000,0.831472
brasileirao,gols_oddeven,FT,2,0.20,0.30,3,0.241826,0.333333,0.091507
brasileirao,gols_oddeven,FT,3,0.30,0.40,44,0.371081,0.454545,0.083465
brasileirao,gols_oddeven,FT,4,0.40,0.50,1802,0.472077,0.466704,-0.005373
brasileirao,gols_oddeven,FT,5,0.50,0.60,1808,0.527831,0.533186,0.005355
brasileirao,gols_oddeven,FT,6,0.60,0.70,44,0.628919,0.545455,-0.083465
brasileirao,gols_oddeven,FT,7,0.70,0.80,3,0.758174,0.666667,-0.091507
brasileirao,gols_oddeven,FT,8,0.80,0.90,2,0.831472,0.000000,-0.831472
brasileirao,gols_oddeven,FT,9,0.90,1.00,1,1.000000,1.000000,0.000000
brasileirao,gols_oddeven,HT,3,0.30,0.40,21,0.385493,0.428571,0.043079
brasileirao,gols_oddeven,HT,4,0.40,0.50,1834,0.451300,0.452563,0.001263
brasileirao,gols_oddeven,HT,5,0.50,0.60,1834,0.548700,0.547437,-0.001263
brasileirao,gols_oddeven,HT,6,0.60,0.70,21,0.614507,0.571429,-0.043079
brasileirao,impedimentos,FT,0,0.00,0.10,174,0.068421,0.074713,0.006292
brasileirao,impedimentos,FT,1,0.10,0.20,4169,0.156716,0.159511,0.002794
brasileirao,impedimentos,FT,2,0.20,0.30,5971,0.249547,0.250544,0.000997
