idx,market_key,family,scope,period,direction,line,run_0010_market_odd,run_0010_edge_pct,run_0010_certified,audit_status,before_run_odd,before_run_criado_em,latest_odd,latest_criado_em,latest_mercado,latest_selecao,latest_linha,global_matches_with_same_market_key,global_quotes_with_same_market_key,audit_comment
961,desarmes_home_ft_under_12_5,desarmes,home,FT,under,12.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
962,desarmes_home_ft_over_14_5,desarmes,home,FT,over,14.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
963,desarmes_home_ft_under_14_5,desarmes,home,FT,under,14.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
964,desarmes_away_ft_over_6_5,desarmes,away,FT,over,6.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
965,desarmes_away_ft_under_6_5,desarmes,away,FT,under,6.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
966,desarmes_away_ft_over_8_5,desarmes,away,FT,over,8.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
967,desarmes_away_ft_under_8_5,desarmes,away,FT,under,8.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
968,desarmes_away_ft_over_10_5,desarmes,away,FT,over,10.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
969,desarmes_away_ft_under_10_5,desarmes,away,FT,under,10.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
970,desarmes_away_ft_over_12_5,desarmes,away,FT,over,12.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
971,desarmes_away_ft_under_12_5,desarmes,away,FT,under,12.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
972,desarmes_away_ft_over_14_5,desarmes,away,FT,over,14.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
973,desarmes_away_ft_under_14_5,desarmes,away,FT,under,14.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
