sample,odds_range,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
value_ev_ge_3_edge_ge_2pp,1.20-1.50,5437,3946,0.7257678867022255,1.335118631598308,0.8293013054534293,0.10357638935802503,0.07711476335695501,-0.035766047452639324,-194.46,0.7489971125658489
value_ev_ge_3_edge_ge_2pp,1.50-1.70,2641,1630,0.617190458159788,1.5967493373722077,0.7236367684189638,0.1543100473980514,0.09652209946321744,-0.015531995456266559,-41.01999999999998,0.6262723751279043
value_ev_ge_3_edge_ge_2pp,1.70-1.90,2674,1400,0.5235602094240838,1.7916868611318875,0.6636492081994079,0.18823744400946266,0.10499316748661351,-0.06187746197955621,-165.4603333333333,0.5581332439800647
value_ev_ge_3_edge_ge_2pp,1.90-2.10,2228,1026,0.4605026929982047,1.9830864003590665,0.6083212960583513,0.20554916425359668,0.10364535301978918,-0.08789205565529627,-195.82350000000008,0.5042644636254555
value_ev_ge_3_edge_ge_2pp,2.10-2.50,2626,1117,0.42536176694592537,2.2568665905052043,0.553679173759711,0.24741234912660567,0.10946671093115416,-0.041230198019801975,-108.27049999999998,0.4430922076683974
value_ev_ge_3_edge_ge_2pp,2.50-3.00,2018,711,0.35232903865213083,2.7060934093161544,0.4820169796962354,0.30185857472448574,0.11155713680430361,-0.0472728774364057,-95.3966666666667,0.36953639388697446
value_ev_ge_3_edge_ge_2pp,3.00-4.00,1634,412,0.2521419828641371,3.3936961444308444,0.390452119942518,0.31562502876564646,0.09376132779099891,-0.15201193390452877,-248.38750000000002,0.29466397621985974
value_ev_ge_3_edge_ge_2pp,4.00+,1050,189,0.18,4.890690476190477,0.2993335600920667,0.4020777325968206,0.08107223477005367,-0.18614285714285717,-195.45000000000002,0.20447010598367157
value_operational_pre_date_sane,1.01-1.20,16,15,0.9375,1.141875,0.9239309386173904,0.05407933734228884,0.047268484688755504,0.070625,1.13,0.8757525998905309
value_operational_pre_date_sane,1.20-1.50,5396,3914,0.7253521126760564,1.335061156412157,0.8292731128643077,0.10348952601181698,0.07705454111581181,-0.036391771682727954,-196.37000000000003,0.7490293573422506
value_operational_pre_date_sane,1.50-1.70,2618,1617,0.6176470588235294,1.596694041252865,0.7235540797364517,0.1541277168026623,0.09641767793224507,-0.01480901451489686,-38.76999999999998,0.626294063961896
value_operational_pre_date_sane,1.70-1.90,2646,1386,0.5238095238095238,1.7917018770471151,0.6635121971279028,0.18801123566007444,0.10486215900125502,-0.06135311161501637,-162.34033333333332,0.5581285663707007
value_operational_pre_date_sane,1.90-2.10,2203,1014,0.460281434407626,1.9828615524285065,0.6080374681791867,0.20484899829247302,0.10330501842355136,-0.08841398093508855,-194.77600000000007,0.504321645036312
