market_key,family,direction,mercado,selecao,linha,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
escanteios_total_ft_over_10_5,escanteios,over,Total de Escanteios,Mais de 10.5,10.5,267,112,0.41947565543071164,2.286142322097378,0.5475828792415189,0.2328523530088755,0.10199362509704887,-0.07101123595505619,-18.960000000000004,0.43741808650065533
escanteios_total_ht_under_5_5,escanteios,under,1º Tempo - Total de Escanteios,Menos de 5.5,5.5,676,443,0.6553254437869822,1.4176923076923078,0.8019456956621933,0.13425944540141585,0.09430443260961924,-0.07813609467455622,-52.82000000000001,0.7053716766142158
gols_total_ft_under_2_5,gols,under,Total de Gols,Menos de 2.5,2.5,349,165,0.47277936962750716,2.01865329512894,0.6117666241125851,0.19185801823442553,0.09472738899187359,-0.08128939828080228,-28.369999999999997,0.4953797674979773
chutes_total_ft_under_25_5,chutes,under,Total de Finalizações,Menos de 25.5,25.5,168,85,0.5059523809523809,1.848392857142857,0.6741546997718904,0.22970793742828755,0.12471351692520002,-0.08220238095238097,-13.810000000000002,0.5410105303835379
escanteios_total_ht_under_4_5,escanteios,under,1º Tempo - Total de Escanteios,Menos de 4.5,4.5,639,326,0.5101721439749609,1.8066510172143975,0.6598129291450446,0.18634467519092865,0.10273693885556916,-0.08951486697965567,-57.199999999999974,0.553510329594179
chutes_total_ft_under_26_5,chutes,under,Total de Finalizações,Menos de 26.5,26.5,136,71,0.5220588235294118,1.7805882352941176,0.6945384720711139,0.2250495867909932,0.12419461043379669,-0.09044117647058823,-12.299999999999999,0.561612157251404
escanteios_total_ft_over_11_5,escanteios,over,Total de Escanteios,Mais de 11.5,11.5,212,70,0.330188679245283,2.866179245283019,0.45512242766119765,0.27961884488804484,0.0974365647568611,-0.09108490566037733,-19.309999999999995,0.3488965324292744
chutes_alvo_total_ft_over_8_5,chutes_alvo,over,Total de Chutes no Gol,Mais de 8.5,8.5,104,44,0.4230769230769231,2.156057692307692,0.5271291072360504,0.13015058622025005,0.058751055715670485,-0.09221153846153844,-9.589999999999998,0.4638094813361281
gols_total_ft_over_1_5,gols,over,Total de Gols,Mais de 1.5,1.5,236,160,0.6779661016949152,1.3480084745762713,0.8179309426942281,0.0978192507072577,0.07181979474623813,-0.09326271186440678,-22.01,0.7418350988589569
1x2_total_ft_home,1x2,home,Resultado Final,1,,732,313,0.4275956284153005,2.397882513661202,0.6102930643878568,0.3592866462331143,0.14771312220922606,-0.09561475409836066,-69.99000000000001,0.41703461045435125
gols_total_ht_under_1_5,gols,under,1º Tempo - Total de Gols,Menos de 1.5,1.5,418,257,0.6148325358851675,1.4868181818181818,0.7493349103039361,0.10439061712659296,0.06955888298149611,-0.09648325358851671,-40.329999999999984,0.6725771935188016
escanteios_total_ft_under_8_5,escanteios,under,Total de Escanteios,Menos de 8.5,8.5,252,100,0.3968253968253968,2.3364285714285713,0.5426802221089126,0.25135260690446265,0.10820381849543381,-0.09662698412698413,-24.35,0.42800366860287375
chutes_total_ht_over_11_5,chutes,over,1º Tempo - Total de Finalizações,Mais de 11.5,11.5,142,69,0.4859154929577465,1.8640845070422534,0.6573537559555027,0.22248596919790203,0.11890319726180315,-0.09971830985915495,-14.160000000000002,0.5364563656970155
impedimentos_total_ft_over_2_5,impedimentos,over,Total de Impedimentos,Mais de 2.5,2.5,151,80,0.5298013245033113,1.720132450331126,0.69844954504358,0.19699470049200002,0.1128733979396327,-0.10549668874172187,-15.930000000000001,0.5813505813505813
gols_total_2t_over_1_5,gols,over,2º Tempo - Total de Gols,Mais de 1.5,1.5,450,191,0.42444444444444446,2.175,0.5569587466155397,0.1909425324429792,0.08787204446627675,-0.10646666666666668,-47.910000000000004,0.4597701149425288
cartoes_total_ft_over_2_5,cartoes,over,Total de Cartões,Mais de 2.5,2.5,91,56,0.6153846153846154,1.4576923076923078,0.7646840397264371,0.10636644680338767,0.06890810534904108,-0.11252747252747251,-10.239999999999998,0.6860158311345645
escanteios_total_ht_under_2_5,escanteios,under,1º Tempo - Total de Escanteios,Menos de 2.5,2.5,320,68,0.2125,4.273125,0.310040722948955,0.31058837719357635,0.07278443833302148,-0.11437499999999998,-36.599999999999994,0.2340207693432792
gols_total_2t_under_1_5,gols,under,2º Tempo - Total de Gols,Menos de 1.5,1.5,158,80,0.5063291139240507,1.754240506329114,0.6517216123776286,0.12397105057246091,0.07118241212214776,-0.12126582278481016,-19.160000000000004,0.5700472634123462
gols_total_ht_over_1_5,gols,over,1º Tempo - Total de Gols,Mais de 1.5,1.5,118,35,0.2966101694915254,2.8972033898305085,0.41844732668328516,0.17998183773647997,0.062360587322497156,-0.12398305084745763,-14.63,0.3451604411033434
cartoes_total_ft_over_3_5,cartoes,over,Total de Cartões,Mais de 3.5,3.5,119,56,0.47058823529411764,1.9063025210084033,0.6164816976333449,0.14303397101595716,0.07058806894686773,-0.13126050420168067,-15.620000000000001,0.5245757108221292
impedimentos_total_ft_under_3_5,impedimentos,under,Total de Impedimentos,Menos de 3.5,3.5,112,56,0.5,1.7906250000000001,0.666905317189916,0.1850030962593609,0.10000711674637648,-0.1414285714285715,-15.840000000000005,0.5584642233856894
chutes_total_ft_under_27_5,chutes,under,Total de Finalizações,Menos de 27.5,27.5,96,49,0.5104166666666666,1.7004166666666667,0.7237331389549543,0.22154068577039923,0.12856620636880045,-0.14593750000000003,-14.010000000000002,0.58809115412889
gols_total_ft_over_2_5,gols,over,Total de Gols,Mais de 2.5,2.5,331,148,0.4471299093655589,1.993474320241692,0.6148170889422702,0.19748724352059463,0.09819680680606323,-0.14867069486404833,-49.209999999999994,0.5016367604267701
